HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common.name	Female.maturity..days.	Male.maturity..days.	Gestation.Incubation..days.	Weaning..days.	Litter.Clutch.size	Litters.Clutches.per.year	Inter.litter.Interbirth.interval	Birth.weight..g.	Weaning.weight..g.	Adult.weight..g.	Growth.rate..1.days.	Maximum.longevity..yrs.	Source	Specimen.origin	Sample.size	Data.quality	IMR..per.yr.	MRDT..yrs.	Metabolic.rate..W.	Body.mass..g.	Temperature..K.	References
3441	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_guentheri	Vole	60	95	21	18	6	NA	29	3	15	51.6	NA	3.9	671	captivity	small	acceptable	NA	NA	0.447	43.8	311.45	23642043443645563e4
3442	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_longicaudus	Long-tailed vole	NA	NA	NA	NA	5.22	NA	NA	NA	NA	36.7	NA	NA	NA	unknown	small	low	NA	NA	0.383	32.5	311.15	36420455610619
3443	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_ochrogaster	Prairie vole	47	NA	23	20	3.8	4	26	3.02	16.7	40	0.0666	5.3	671	captivity	small	acceptable	NA	NA	0.41	48.2	311.05	36420434455610615e12
3444	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_oeconomus	Tundra vole	30	48	22	19	7	NA	29	2.43	18	58	0.0798	NA	NA	unknown	tiny	low	NA	NA	0.566	32.8	311.55	23642044145553852e11
3445	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_pennsylvanicus	Meadow vole	29	37	21	14	5.5	NA	21	2.46	11.52	49	0.0397	NA	NA	unknown	small	low	NA	NA	0.428	38.2	311.65	36420455511542603e6
3446	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_pinetorum	Woodland vole	98	NA	21	21	3	NA	26	2.32	9.6	25.5	0.055	3.8	671	captivity	small	acceptable	NA	NA	0.305	24.8	311.45	3642043444145561e13
3447	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_richardsoni	Water vole	NA	NA	22	21	5.8	2	NA	5.05	31.1	51	NA	NA	NA	unknown	small	low	NA	NA	0.701	64.5	311.85	36420434455542610
3448	Animalia	Chordata	Mammalia	Rodentia	Muridae	Microtus	Microtus_subterraneus	European pine vole	96	NA	22	24	2.7	4	24	1.6	9.4	20	NA	NA	NA	unknown	small	low	NA	NA	0.276	17.8	310.95	364344555429781e3
3449	Animalia	Chordata	Mammalia	Rodentia	Muridae	Millardia	Millardia_gleadowi	Sand-colored rat	NA	NA	NA	NA	2.3	NA	NA	NA	NA	70	NA	4	671	captivity	small	acceptable	NA	NA	NA	NA	NA	455671
3450	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus_caroli	Ryukyu mouse	NA	NA	21	NA	NA	NA	NA	1.2	NA	11.2	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455610671
3451	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus_cervicolor	Fawn-colored mouse	NA	NA	20	NA	4.1	NA	NA	1.5	NA	17.7	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	434455610671
3452	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus_minutoides	Mouse	60	77	20	21	4.3	4	31	0.97	3.3	7.2	0.0832	4.3	671	captivity	medium	acceptable	NA	NA	0.129	8	309.45	23642043445554266e4
3453	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus_musculoides	Temmincks mouse	NA	NA	24	NA	4.5	NA	NA	0.8	NA	6	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	455610671978
3454	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus_musculus	House mouse	42	42	19	22	7	NA	30	1.25	8.9	20.5	0.0298	4	506	captivity	large	high	0.01	0.3	0.271	18	310.05	2111314365153596e147
3455	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus_spicilegus	Steppe mouse	NA	NA	NA	NA	6.7	NA	NA	NA	NA	NA	NA	3.5	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	671978
3456	Animalia	Chordata	Mammalia	Rodentia	Muridae	Myopus	Myopus_schisticolor	Wood lemming	33	NA	22	20	4.6	2	25	3.2	15.7	25	NA	NA	NA	unknown	small	low	NA	NA	0.522	26.4	312.15	3642043445554267e7
3457	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mystromys	Mystromys_albicaudatus	White-tailed mouse	109	NA	38	32	3	NA	36	6.5	40	106	NA	6.3	671	captivity	small	acceptable	NA	NA	0.707	93.8	306.15	364204344555426e8
